STATS,Autoc,contr,corrm,corrp,cprom,cshad,dissi,energ,entro,homom,homop,maxpr,sosvh,savgh,svarh,senth,dvarh,denth, inf1h, inf2h,indnc,idmnc
Sample(7)35,25.111,0.57162,0.94595,0.94595,743.28,1.3468,0.38024,0.066,3.0246,0.83495,0.8279,0.10761,25.254,8.9686,60.914,2.6177,0.57162,0.79913,-0.54527,0.94679,0.95969,0.99173
Sample(7)36,25.13,0.6513,0.93786,0.93786,730.79,1.0044,0.42207,0.061998,3.0886,0.81906,0.81056,0.10539,25.313,8.9921,60.736,2.6341,0.6513,0.84911,-0.51444,0.93928,0.95542,0.9906
Sample(7)37,25.105,0.70655,0.93292,0.93292,730.17,0.57102,0.4456,0.060248,3.1212,0.81097,0.80167,0.10445,25.315,8.9871,60.623,2.6416,0.70655,0.87642,-0.49866,0.93501,0.95311,0.98986
Sample(7)38,25.196,0.55036,0.94747,0.94747,741.86,0.25514,0.38453,0.064727,3.0322,0.83014,0.82352,0.10883,25.334,8.9961,60.969,2.627,0.55036,0.7984,-0.54141,0.94589,0.95897,0.99196
Sample(7)39,25.248,0.47299,0.95503,0.95503,749.01,0.0038178,0.34079,0.069252,2.9633,0.84771,0.84227,0.11102,25.347,8.9946,61.382,2.6055,0.47299,0.74483,-0.57438,0.95298,0.9635,0.99305
Sample(7)40,25.264,0.48917,0.95369,0.95369,747.22,0.99564,0.35408,0.067764,2.9818,0.84145,0.83591,0.11087,25.368,8.9949,61.34,2.615,0.48917,0.7593,-0.56524,0.95109,0.96205,0.9928
Sample(7)41,25.092,0.67838,0.93505,0.93505,729.24,0.86382,0.43724,0.060609,3.1103,0.81287,0.80403,0.10487,25.287,8.9909,60.538,2.6406,0.67838,0.865,-0.50375,0.9364,0.95385,0.99023
Sample(7)42,25.234,0.61415,0.94114,0.94114,734.34,-1.2198,0.40943,0.062791,3.071,0.8224,0.81461,0.10784,25.408,9.0163,61.007,2.6326,0.61415,0.83167,-0.5228,0.94141,0.95659,0.9911
Sample(7)43,25.174,0.57595,0.945,0.945,735.78,0.68379,0.36718,0.068124,3.0068,0.84363,0.83607,0.10697,25.32,8.9947,61.243,2.6012,0.57595,0.78916,-0.553,0.94845,0.96131,0.99171
Sample(7)44,25.186,0.46847,0.95636,0.95636,762.34,-0.24694,0.31706,0.07373,2.9182,0.86083,0.85547,0.11298,25.28,8.956,61.677,2.5782,0.46847,0.71842,-0.59453,0.95673,0.96628,0.99324
Sample(7)45,25.455,0.36093,0.96546,0.96546,746.44,-0.2859,0.2675,0.07749,2.8369,0.87841,0.87499,0.11439,25.497,9.0356,62.444,2.5621,0.36093,0.64258,-0.63562,0.96378,0.97122,0.99471
Sample(7)46,25.392,0.37116,0.96479,0.96479,756.37,-0.48354,0.2648,0.078717,2.8292,0.88113,0.87746,0.11516,25.439,9.0126,62.455,2.5518,0.37116,0.64089,-0.6391,0.96429,0.97164,0.9946
Sample(7)47,25.194,0.42465,0.95938,0.95938,743.97,1.2007,0.30613,0.072913,2.9062,0.86256,0.85809,0.11087,25.268,8.9843,61.409,2.587,0.42465,0.69881,-0.60215,0.95824,0.96719,0.99379
Sample(7)48,25.211,0.77462,0.92621,0.92621,727.26,-0.69238,0.46312,0.059467,3.1451,0.80748,0.79719,0.10477,25.459,9.0221,60.94,2.641,0.77462,0.89991,-0.48737,0.93179,0.95163,0.98903
Sample(7)49,25.296,0.36993,0.96459,0.96459,744.23,0.73032,0.28304,0.075146,2.8628,0.86997,0.86664,0.11325,25.34,9.0018,61.771,2.5793,0.36993,0.66107,-0.62245,0.96165,0.96943,0.99455
Sample(7)50,25.103,0.69111,0.93485,0.93485,742.2,1.09,0.42777,0.062818,3.0915,0.81995,0.81076,0.10876,25.299,8.9764,60.846,2.6266,0.69111,0.86042,-0.51308,0.93892,0.95511,0.99012
Sample(8)1,25.423,0.27149,0.97404,0.97404,762.83,-0.41629,0.19066,0.089944,2.6729,0.91436,0.91201,0.11925,25.412,9.0179,63.469,2.4737,0.27149,0.5186,-0.71346,0.97387,0.9796,0.99609
Sample(8)2,25.194,0.3583,0.96606,0.96606,763.25,1.0766,0.23729,0.083485,2.7716,0.89578,0.89233,0.11765,25.241,8.9656,62.326,2.5178,0.3583,0.59861,-0.66688,0.96826,0.97481,0.99489
Sample(8)3,25.355,0.25278,0.9761,0.9761,767.73,0.7548,0.18091,0.09108,2.6572,0.91855,0.91624,0.11872,25.333,8.9875,63.441,2.4651,0.25278,0.50215,-0.72187,0.97483,0.98061,0.99632
